,Gujarati,Tags
13,"['ટૂંક', 'સમયમાં', 'જ', 'શોખ', 'મુસાફરી', 'તરફ', 'દોરી', 'જાય', 'છે', 'કદાચ', 'બીજા', 'કોઈ', 'શહેરમાં', 'મળેલી', 'મીટિંગ', 'સંભવત', 'a', 'કોઈ', 'વિરલ', 'નમૂનાની', 'શોધમાં', 'વિદેશ', 'પ્રવાસ', 'એકઠા', 'કરનારા', 'દેશ', 'માટે', 'મર્યાદિત', 'નથી']","['Adverb', 'Noun', 'Pronoun', 'Noun', 'Noun', 'Noun', 'Noun', 'Verb', 'Verb', 'Adverb', 'Adjective', 'Determinant', 'Noun', 'Verb', 'Noun', 'Adverb', 'Adverb', 'Determinant', 'Conjunction', 'Adjective', 'Noun', 'Noun', 'Adjective', 'Adverb', 'Verb', 'Noun', 'Preposition', 'Adjective', 'Verb']"
14,"['ઘણા', 'વર્ષોથી', 'કોઈ', 'એક', 'વ્યક્તિના', 'શોખ', 'પર', 'સારી', 'રીતે', 'સત્તા', 'બની', 'શકે', 'છે', 'અને', 'સંભવત', 'થોડું', 'મેળાવડાઓને', 'અનૌપચારિક', 'વાતો', 'કરવાનું', 'કહેવામાં', 'આવશે', 'અને', 'પછી', 'જો', 'સફળ', 'થાય', 'તો', 'મોટા', 'પ્રેક્ષકોને', 'પર્યાવરણ', 'પર', 'માણસના', 'હુમલાઓમાં', 'સૌથી', 'ભયજનક', 'એ', 'હવા', 'પૃથ્વી', 'નદીઓ', 'અને', 'સમુદ્રને', 'ઘાતક', 'પદાર્થોથી', 'દૂષિત', 'કરવાનું', 'છે']","['Determinant', 'Noun', 'Determinant', 'Determinant', 'Noun', 'Noun', 'Preposition', 'Adjective', 'Adverb', 'Number', 'Verb', 'Verb', 'Verb', 'Conjunction', 'Adverb', 'Adjective', 'Noun', 'Adjective', 'Noun', 'Verb', 'Verb', 'Verb', 'Conjunction', 'Adjective', 'Adjective', 'Adverb', 'Verb', 'Verb', 'Adjective', 'Noun', 'Noun', 'Preposition', 'Noun', 'Noun', 'Adjective', 'Adjective', 'Determinant', 'Noun', 'Noun', 'Noun', 'Conjunction', 'Noun', 'Adjective', 'Noun', 'Adjective', 'Verb', 'Verb']"
15,"['આ', 'પ્રદૂષણ', 'મોટાભાગના', 'અવ્યવસ્થિત', 'માટે', 'છે', 'દુષ્ટની', 'સાંકળ', 'તે', 'પ્રારંભ', 'કરે', 'છે', 'તે', 'મોટાભાગના', 'ઉલટાવી', 'શકાય', 'તેવું', 'છે']","['Pronoun', 'Noun', 'Adjective', 'Adjective', 'Preposition', 'Verb', 'Adjective', 'Noun', 'Conjunction', 'Adjective', 'Verb', 'Verb', 'Conjunction', 'Adjective', 'Verb', 'Verb', 'Pronoun', 'Verb']"
16,"['પર્યાવરણના', 'આ', 'દૂષણમાં', 'રસાયણો', 'એ', 'વિશ્વના', 'સ્વભાવને', 'બદલવામાં', 'રેડિયેશનના', 'અસ્પષ્ટ', 'ભાગીદારો', 'છે', 'હવામાં', 'પરમાણુ', 'વિસ્ફોટો', 'દ્વારા', 'પ્રકાશિત', 'કિરણોત્સર્ગ', 'વરસાદમાં', 'પૃથ્વી', 'પર', 'આવે', 'છે', 'જમીનમાં', 'પ્રવેશ', 'કરે', 'છે', 'ઘાસ', 'અથવા', 'મકાઈમાં', 'પ્રવેશ', 'કરે', 'છે', 'અથવા', 'ઘઉં', 'ત્યાં', 'ઉગાડવામાં', 'આવે', 'છે', 'અને', 'મનુષ્યના', 'હાડકાં', 'સુધી', 'પહોંચે', 'છે', 'ત્યાં', 'સુધી', 'તે', 'તેના', 'મૃત્યુ', 'સુધી', 'રહે', 'છે']","['Noun', 'Pronoun', 'Noun', 'Noun', 'Determinant', 'Noun', 'Noun', 'Verb', 'Adjective', 'Adjective', 'Noun', 'Verb', 'Noun', 'Noun', 'Noun', 'Preposition', 'Adjective', 'Noun', 'Noun', 'Noun', 'Preposition', 'Verb', 'Verb', 'Noun', 'Noun', 'Verb', 'Verb', 'Noun', 'Conjunction', 'Noun', 'Noun', 'Verb', 'Verb', 'Conjunction', 'Noun', 'Preposition', 'Verb', 'Verb', 'Verb', 'Conjunction', 'Noun', 'Noun', 'Adverb', 'Verb', 'Verb', 'Preposition', 'Adverb', 'Conjunction', 'Pronoun', 'Noun', 'Adverb', 'Verb', 'Verb']"
17,"['એ', 'જ', 'રીતે', 'પાક', 'પર', 'છાંટવામાં', 'આવતા', 'રસાયણો', 'જમીનમાં', 'લાંબી', 'રહે', 'છે', 'જીવંત', 'જીવોમાં', 'પ્રવેશ', 'કરે', 'છે', 'ઝેર', 'અને', 'મૃત્યુની', 'સાંકળમાં', 'એક', 'બીજાથી', 'પસાર', 'થાય', 'છે']","['Determinant', 'Pronoun', 'Adverb', 'Noun', 'Preposition', 'Verb', 'Adjective', 'Noun', 'Noun', 'Adjective', 'Verb', 'Verb', 'Verb', 'Noun', 'Noun', 'Verb', 'Verb', 'Noun', 'Conjunction', 'Noun', 'Noun', 'Determinant', 'Pronoun', 'Noun', 'Verb', 'Verb']"
18,"['અથવા', 'તેઓ', 'ભૂગર્ભ', 'પ્રવાહો', 'દ્વારા', 'પસાર', 'થાય', 'છે', 'ત્યાં', 'સુધી', 'કે', 'તેઓ', 'ઉભરી', 'આવે', 'અને', 'નવા', 'સ્વરૂપોમાં', 'ભેગા', 'થાય', 'કે', 'જે', 'વનસ્પતિને', 'મારી', 'નાખે', 'છે', 'બીમાર', 'પશુઓ', 'છે', 'અને', 'જેઓ', 'એકવાર', 'શુદ્ધ', 'કુવાઓમાંથી', 'પીતા', 'હોય', 'છે']","['Conjunction', 'Pronoun', 'Noun', 'Noun', 'Preposition', 'Noun', 'Verb', 'Verb', 'Preposition', 'Adverb', 'Determinant', 'Pronoun', 'Verb', 'Verb', 'Conjunction', 'Noun', 'Noun', 'Noun', 'Verb', 'Determinant', 'Pronoun', 'Noun', 'Verb', 'Adjective', 'Verb', 'Adjective', 'Noun', 'Verb', 'Conjunction', 'Pronoun', 'Adverb', 'Adjective', 'Noun', 'Verb', 'Pronoun', 'Verb']"
19,"['તે', 'જીવનને', 'ઉત્પન્ન', 'કરવામાં', 'લાખો', 'વર્ષોનો', 'સમય', 'લાગ્યો', 'હતો', 'જે', 'હવે', 'પૃથ્વી', 'પર', 'રહે', 'છે', 'અને', 'તેની', 'આસપાસના', 'સંતુલન', 'અને', 'સંતુલનના', 'તબક્કે', 'પહોંચી', 'ગયો', 'છે']","['Conjunction', 'Noun', 'Verb', 'Verb', 'Noun', 'Noun', 'Noun', 'Adjective', 'Verb', 'Pronoun', 'Adverb', 'Noun', 'Preposition', 'Verb', 'Verb', 'Conjunction', 'Conjunction', 'Adjective', 'Verb', 'Conjunction', 'Noun', 'Noun', 'Verb', 'Verb', 'Verb']"
20,"['પર્યાવરણમાં', 'એવા', 'તત્વો', 'હતા', 'જે', 'પ્રતિકૂળ', 'અને', 'સહાયક', 'હતા']","['Noun', 'Conjunction', 'Noun', 'Verb', 'Pronoun', 'Adjective', 'Conjunction', 'Noun', 'Verb']"
21,"['સૂર્યના', 'પ્રકાશની', 'અંદર', 'પણ', 'ઇજા', 'પહોંચાવાની', 'શક્તિ', 'સાથે', 'ટૂંકા', 'તરંગ', 'કિરણોત્સર્ગ', 'હતા']","['Noun', 'Adjective', 'Adverb', 'Pronoun', 'Noun', 'Verb', 'Adjective', 'Preposition', 'Adjective', 'Noun', 'Noun', 'Verb']"
22,"['સમય', 'આપ્યો', 'જીવન', 'સમાયોજિત', 'થયું', 'છે', 'અને', 'સંતુલન', 'પહોંચી', 'ગયું', 'છે', 'સમય', 'માટે', 'આવશ્યક', 'ઘટક', 'છે', 'પરંતુ', 'આધુનિક', 'વિશ્વમાં', 'સમય', 'નથી']","['Noun', 'Verb', 'Noun', 'Adjective', 'Verb', 'Verb', 'Conjunction', 'Verb', 'Verb', 'Verb', 'Verb', 'Noun', 'Preposition', 'Adjective', 'Noun', 'Verb', 'Conjunction', 'Adjective', 'Noun', 'Noun', 'Verb']"
23,"['પરિવર્તનની', 'તીવ્રતા', 'અને', 'ગતિ', 'જેની', 'સાથે', 'નવી', 'પરિસ્થિતિઓ', 'સર્જાય', 'છે', 'તે', 'પ્રકૃતિની', 'ઇરાદાપૂર્વકની', 'ગતિને', 'બદલે', 'માણસની', 'બેદરકારીની', 'ગતિને', 'અનુસરે', 'છે']","['Noun', 'Noun', 'Conjunction', 'Noun', 'Pronoun', 'Preposition', 'Adjective', 'Noun', 'Verb', 'Verb', 'Conjunction', 'Adjective', 'Adjective', 'Noun', 'Adverb', 'Adjective', 'Adjective', 'Noun', 'Verb', 'Verb']"
24,"['રેડિયેશન', 'એ', 'હવે', 'કોસ્મિક', 'કિરણોનું', 'બોમ્બાર્ડમેન્ટ', 'નથી', 'તે', 'હવે', 'અણુ', 'સાથે', 'માણસની', 'ચેડા', 'કરવાની', 'અકુદરતી', 'રચના', 'છે']","['Adjective', 'Determinant', 'Adverb', 'Adjective', 'Noun', 'Noun', 'Verb', 'Conjunction', 'Adverb', 'Noun', 'Preposition', 'Adjective', 'Noun', 'Verb', 'Adjective', 'Noun', 'Verb']"
25,"['જીવનને', 'સમાયોજીત', 'કરવા', 'માટે', 'કહેવામાં', 'આવતા', 'રસાયણો', 'હવે', 'ફક્ત', 'કેલ્શિયમ', 'સિલિકા', 'અને', 'તાંબુ', 'જ', 'નથી', 'અને', 'બાકીના', 'બધા', 'ખનિજો', 'ખડકોમાંથી', 'ધોવાઇ', 'જાય', 'છે', 'અને', 'નદીઓમાં', 'દરિયામાં', 'વહન', 'કરે', 'છે', 'તે', 'માણસના', 'સંશોધનાત્મક', 'મનની', 'કૃત્રિમ', 'રચનાઓ', 'છે', 'તેની', 'પ્રયોગશાળાઓમાં', 'ઉકાળવામાં', 'આવે', 'છે', 'અને', 'પ્રકૃતિનો', 'કોઈ', 'સાથી', 'નથી']","['Noun', 'Adjective', 'Verb', 'Preposition', 'Verb', 'Adjective', 'Noun', 'Adverb', 'Adjective', 'Noun', 'Noun', 'Conjunction', 'Noun', 'Pronoun', 'Verb', 'Conjunction', 'Adjective', 'Adjective', 'Noun', 'Noun', 'Verb', 'Verb', 'Verb', 'Conjunction', 'Noun', 'Noun', 'Noun', 'Verb', 'Verb', 'Conjunction', 'Noun', 'Adjective', 'Noun', 'Adjective', 'Noun', 'Verb', 'Conjunction', 'Noun', 'Verb', 'Verb', 'Verb', 'Conjunction', 'Noun', 'Determinant', 'Noun', 'Verb']"
26,"['હવા', 'પૃથ્વી', 'નદીઓ', 'અને', 'સમુદ્રમાં', 'ઘાતક', 'પદાર્થો', 'પર્યાવરણને', 'દૂષિત', 'કરે', 'છે', 'જે', 'પ્રદૂષણની', 'બદલી', 'ન', 'શકાય', 'તેવી', 'દુષ્ટ', 'સાંકળની', 'શરૂઆત', 'કરે', 'છે', 'રસાયણો', 'અને', 'કિરણોત્સર્ગ', 'પર્યાવરણને', 'દૂષિત', 'કરવા', 'માટે', 'પાયમાલી', 'બનાવે', 'છે']","['Noun', 'Noun', 'Noun', 'Conjunction', 'Noun', 'Adjective', 'Noun', 'Noun', 'Adjective', 'Verb', 'Verb', 'Pronoun', 'Adjective', 'Verb', 'Adverb', 'Verb', 'Number', 'Adjective', 'Noun', 'Noun', 'Verb', 'Verb', 'Noun', 'Conjunction', 'Noun', 'Noun', 'Adjective', 'Verb', 'Preposition', 'Adjective', 'Verb', 'Verb']"
27,"['તેઓ', 'વિવિધ', 'માધ્યમો', 'દ્વારા', 'માનવ', 'હાડકાં', 'સુધી', 'પહોંચે', 'છે']","['Pronoun', 'Adjective', 'Noun', 'Preposition', 'Noun', 'Noun', 'Adverb', 'Verb', 'Verb']"
28,"['લાખો', 'વર્ષોમાં', 'જીવન', 'આસપાસના', 'સાથે', 'ગોઠવણ', 'અને', 'સંતુલનના', 'તબક્કે', 'પહોંચ્યું']","['Noun', 'Noun', 'Noun', 'Adjective', 'Preposition', 'Noun', 'Conjunction', 'Noun', 'Noun', 'Verb']"
29,"['દુર્ભાગ્યે', 'આધુનિક', 'વિશ્વમાં', 'વધુ', 'સમય', 'નથી']","['Noun', 'Adjective', 'Noun', 'Adverb', 'Noun', 'Verb']"
30,"['કોસ્મિક', 'કિરણોનું', 'બોમ્બાર્ડિંગ', 'હવે', 'કિરણોત્સર્ગનું', 'કારણ', 'નથી', 'તે', 'માણસની', 'અકુદરતી', 'રચના', 'છે', '“ઝાકઝમાળ', 'એસિડ્સ', 'એસિડ', 'વરસાદની', 'જેમ', 'પડીને', 'પાક', 'અને', 'ઝાડને', 'નુકસાન', 'પહોંચાડવાની', 'સંભાવના', 'છે']","['Adjective', 'Noun', 'Noun', 'Adverb', 'Noun', 'Noun', 'Verb', 'Conjunction', 'Adjective', 'Adjective', 'Noun', 'Verb', 'Missing', 'Noun', 'Noun', 'Noun', 'Conjunction', 'Verb', 'Noun', 'Conjunction', 'Noun', 'Noun', 'Verb', 'Adjective', 'Verb']"
31,"['પાંદડા', 'પર', 'પડતી', 'એશ', 'પૃથ્વીની', 'સપાટી', 'પર', 'સૂર્યપ્રકાશના', 'ઘટાડાની', 'અસરને', 'વધારી', 'શકે', 'છે']","['Noun', 'Preposition', 'Verb', 'Noun', 'Adjective', 'Noun', 'Preposition', 'Noun', 'Noun', 'Noun', 'Verb', 'Verb', 'Verb']"
32,"['ધુમ્મસનું', 'નિર્માણ', 'થઈ', 'રહ્યું', 'છે', 'તે', 'પ્રદૂષણ', 'શ્વસન', 'રોગોના', 'ઉચ્ચ', 'સ્તરના', 'પરિણામે', 'હજારો', 'હજારો', 'અકાળે', 'મૃત્યુ', 'તરફ', 'દોરી', 'જાય', 'છે']","['Noun', 'Noun', 'Verb', 'Verb', 'Verb', 'Conjunction', 'Noun', 'Noun', 'Noun', 'Adjective', 'Noun', 'Verb', 'Noun', 'Noun', 'Adverb', 'Noun', 'Noun', 'Noun', 'Verb', 'Verb']"
33,"['quot', 'દિલ્હી', 'મુંબઇ', 'અમદાવાદ', 'અને', 'કોલકાતા', 'સહિત', 'એકલા', 'ભારતના', 'સાત', 'શહેરોનાં', 'પરિણામો', 'અંદાજ', 'કરે', 'છે', 'કે', '0', 'ના', 'દાયકાના', 'પ્રારંભમાં', 'વાયુ', 'પ્રદૂષણ', '000', 'અકાળ', 'મૃત્યુ', 'માટે', 'વાર્ષિક', 'જવાબદાર', 'હતું']","['Missing', 'Noun', 'Noun', 'Noun', 'Conjunction', 'Noun', 'Preposition', 'Adverb', 'Adjective', 'Adjective', 'Noun', 'Noun', 'Verb', 'Verb', 'Verb', 'Determinant', 'Missing', 'Adverb', 'Adjective', 'Noun', 'Noun', 'Noun', 'Missing', 'Adverb', 'Noun', 'Preposition', 'Adjective', 'Adjective', 'Verb']"
34,"['0', 'ના', 'દાયકાના', 'મધ્યભાગમાં', 'તેઓ', 'અંદાજે', '000', 'અકાળ', 'મૃત્યુનું', 'કારણ', 'બન્યા']","['Missing', 'Adverb', 'Adjective', 'Noun', 'Pronoun', 'Adverb', 'Missing', 'Adverb', 'Noun', 'Noun', 'Verb']"
35,"['“ધુમ્મસને', 'લીધે', 'ભારતમાં', 'સૂર્યપ્રકાશને0', 'ટકાનો', 'ઘટાડો', 'થયો', 'છે', 'અત્યાર', 'સુધી', 'એક', 'મોટી', 'રકમ']","['Missing', 'Verb', 'Noun', 'Missing', 'Noun', 'Noun', 'Verb', 'Verb', 'Noun', 'Adverb', 'Determinant', 'Adjective', 'Noun']"
36,"['પ્રતિક્રિયા', 'તરીકે', 'ભારતનો', 'ઉત્તર', 'પશ્ચિમ', 'સુકાઈ', 'રહ્યો', 'છે']","['Noun', 'Adverb', 'Adjective', 'Adverb', 'Adverb', 'Verb', 'Verb', 'Verb']"
37,"['”', 'પ્રો']","['Missing', 'Verb']"
38,['વી'],['Adverb']
39,"['રામાનાથને', 'ખાસ', 'કરીને', 'જ્યારે', 'ભારતમાં', 'ઝાકળની', 'અસર', 'વિશે', 'પૂછવામાં', 'આવ્યું', 'ત્યારે', 'જણાવ્યું', 'હતું']","['Noun', 'Adjective', 'Verb', 'Adverb', 'Noun', 'Noun', 'Adjective', 'Adjective', 'Verb', 'Verb', 'Conjunction', 'Verb', 'Verb']"
40,"['દર', 'વર્ષે', 'સૂર્યપ્રકાશ', 'ઓછો', 'થતો', 'હોવાનું', 'જણાવીને', 'તેમણે', 'જણાવ્યું', 'હતું']","['Adverb', 'Noun', 'Noun', 'Adjective', 'Adjective', 'Verb', 'Verb', 'Pronoun', 'Verb', 'Verb']"
41,"['“અમે', 'હજી', 'પણ', 'ઝાકળની', 'અસરની', 'સમજના', 'પ્રારંભિક', 'તબક્કામાં', 'છીએ']","['Missing', 'Adverb', 'Pronoun', 'Noun', 'Noun', 'Verb', 'Adjective', 'Noun', 'Verb']"
42,"['એક', 'દાયકાથી', 'વધુ', 'સારા', 'ચોમાસાને', 'લીધે', 'ભારતના', 'મોટાભાગના', 'ભાગોમાં', 'હાલનો', 'દુકાળ', 'પડ્યો', 'હોવાના', 'સવાલ', 'પર', 'તેમણે', 'કહ્યું', 'હતું', 'કે', '“કોઈ', 'તારણ', 'પર', 'પહોંચવું', 'બહુ', 'વહેલું', 'થયું', 'હતું']","['Determinant', 'Adjective', 'Adverb', 'Adjective', 'Noun', 'Verb', 'Adjective', 'Adjective', 'Noun', 'Adjective', 'Noun', 'Verb', 'Verb', 'Noun', 'Preposition', 'Pronoun', 'Verb', 'Verb', 'Determinant', 'Missing', 'Noun', 'Preposition', 'Verb', 'Noun', 'Verb', 'Verb', 'Verb']"
43,"['જો', 'દુષ્કાળ', 'લગભગ', 'ચારથી', 'પાંચ', 'વર્ષ', 'સુધી', 'યથાવત', 'રહે', 'છે', 'તો', 'આપણે', 'એવી', 'શંકા', 'શરૂ', 'કરવી', 'જોઈએ', 'કે', 'તે', 'તરસને', 'કારણે', 'હશે', 'quot', 'ભારત', 'ચીન', 'અને', 'ઇન્ડોનેશિયા', 'તેમની', 'વસ્તીની', 'ઘનતા', 'આર્થિક', 'વિકાસ', 'અને', 'વનસ્પતિના', 'ઘટાડાને', 'કારણે', 'સૌથી', 'વધુ', 'અસરગ્રસ્ત', 'છે', 'પ્રારંભિક', 'પરિણામો', 'સૂચવે', 'છે', 'કે', 'ઝાકળની', 'રચના', 'રાખ', 'એસિડ્સ', 'એરોસોલ્સ', 'અને', 'અન્ય', 'કણોનો', 'હવામાન', 'સિસ્ટમોમાં', 'વિક્ષેપ', 'પડે', 'છે', 'જેમાં', 'વરસાદ', 'અને', 'પવનની', 'રીત', 'અને', 'એશિયન', 'ખંડના', 'પશ્ચિમ', 'ભાગોમાં', 'દુષ્કાળ', 'સર્જાય', 'છે']","['Adjective', 'Noun', 'Adverb', 'Adjective', 'Number', 'Noun', 'Adverb', 'Adjective', 'Verb', 'Verb', 'Verb', 'Pronoun', 'Adjective', 'Adjective', 'Noun', 'Verb', 'Verb', 'Determinant', 'Conjunction', 'Noun', 'Preposition', 'Verb', 'Missing', 'Noun', 'Adjective', 'Conjunction', 'Noun', 'Pronoun', 'Adjective', 'Noun', 'Adjective', 'Noun', 'Conjunction', 'Noun', 'Noun', 'Preposition', 'Adjective', 'Adverb', 'Adjective', 'Verb', 'Adjective', 'Noun', 'Verb', 'Verb', 'Determinant', 'Noun', 'Noun', 'Verb', 'Noun', 'Noun', 'Conjunction', 'Adjective', 'Noun', 'Noun', 'Noun', 'Noun', 'Verb', 'Verb', 'Pronoun', 'Noun', 'Conjunction', 'Noun', 'Adjective', 'Conjunction', 'Adjective', 'Noun', 'Adverb', 'Noun', 'Noun', 'Verb', 'Verb']"
44,"['ચિંતા', 'એ', 'છે', 'કે', 'એશિયાઈ', 'ક્ષેત્રની', 'વસ્તી', 'અંદાજે', 'પાંચ', 'અબજ', 'લોકોની', 'સંખ્યામાં', 'વધારો', 'થતાં', 'આગામી0', 'વર્ષોમાં', 'ઝાકળની', 'પ્રાદેશિક', 'અને', 'વૈશ્વિક', 'અસરો', 'તીવ્ર', 'બનશે']","['Noun', 'Determinant', 'Verb', 'Determinant', 'Adjective', 'Adjective', 'Adjective', 'Adverb', 'Number', 'Noun', 'Adjective', 'Noun', 'Adjective', 'Verb', 'Missing', 'Noun', 'Noun', 'Adjective', 'Conjunction', 'Adjective', 'Noun', 'Adjective', 'Verb']"
45,"['દક્ષિણ', 'એશિયામાં', 'વિશાળ', 'પ્રદૂષણ', 'ધાબળા']","['Adverb', 'Adverb', 'Adjective', 'Noun', 'Noun']"
46,"['આનાથી', 'લોકોએ', 'જોખમમાં', 'મુકતા', 'હવામાનમાં', 'ધરખમ', 'પરિવર્તન', 'લાવ્યું', 'છે']","['Preposition', 'Adjective', 'Noun', 'Adjective', 'Noun', 'Adjective', 'Noun', 'Verb', 'Verb']"
47,"['પરિણામે', 'ભારતમાં', 'દુષ્કાળને', 'કારણે', 'આર્થિક', 'વિકાસ', 'તૂટી', 'શકે', 'છે']","['Verb', 'Noun', 'Noun', 'Preposition', 'Adjective', 'Noun', 'Noun', 'Verb', 'Verb']"
48,"['એસિડ', 'વરસાદ', 'અને', 'શ્વસન', 'રોગને', 'લીધે', 'અકાળ', 'મૃત્યુ', 'વનસ્પતિઓ', 'અને', 'માણસોને', 'એકસરખો', 'ભય', 'છે']","['Noun', 'Noun', 'Conjunction', 'Noun', 'Noun', 'Verb', 'Adverb', 'Noun', 'Noun', 'Conjunction', 'Noun', 'Adjective', 'Noun', 'Verb']"
